,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
355,46650,1,0,0,1,0,0,0,0,0,1,1
356,46719,2,0,0,1,0,0,-1,0,0,2,1
357,46969,1,0,0,1,0,0,0,0,0,1,1
358,46978,0,3,0,0,2,0,0,-1,0,3,1
359,47459,1,0,0,1,0,0,0,0,0,1,2
360,47610,1,0,0,1,0,0,0,0,0,1,1
361,47618,0,1,0,0,1,0,0,0,0,1,1
362,47631,0,0,0,1,0,0,1,0,0,0,1
363,47691,1,0,0,2,0,0,1,0,0,1,1
364,47716,0,1,0,0,0,0,0,-1,0,1,2
365,47737,0,1,0,0,1,0,0,0,0,1,0
366,48026,1,0,0,1,0,0,0,0,0,1,1
367,48143,1,0,0,1,0,0,0,0,0,1,1
368,48165,0,1,0,0,1,0,0,0,0,1,1
369,48247,1,0,0,1,0,0,0,0,0,1,1
370,48321,1,0,0,0,0,0,-1,0,0,1,1
371,48502,1,0,0,0,0,0,-1,0,0,1,0
372,48581,0,0,0,1,0,0,1,0,0,0,0
373,48599,1,0,1,1,0,1,0,0,0,2,1
374,48619,1,0,0,1,0,0,0,0,0,1,2
375,49105,0,0,0,1,0,0,1,0,0,0,1
376,49163,1,0,0,0,0,0,-1,0,0,1,1
377,49236,2,0,0,2,0,0,0,0,0,2,0
378,49271,1,0,0,1,0,0,0,0,0,1,2
379,49366,2,0,0,2,0,0,0,0,0,2,1
380,49623,0,1,0,0,0,0,0,-1,0,1,2
381,49670,0,0,0,1,0,0,1,0,0,0,0
382,49875,2,0,0,0,0,0,-2,0,0,2,1
383,49966,1,0,0,1,0,0,0,0,0,1,0
384,49987,0,0,0,1,0,0,1,0,0,0,1
385,50124,0,1,0,0,1,0,0,0,0,1,1
386,50148,1,0,0,1,0,0,0,0,0,1,1
387,50335,1,0,0,1,0,0,0,0,0,1,1
388,50846,1,0,0,1,0,0,0,0,0,1,1
389,50912,0,1,0,0,1,0,0,0,0,1,1
390,50958,1,0,0,1,0,0,0,0,0,1,1
391,51038,1,4,0,1,3,0,0,-1,0,5,1
392,51414,0,1,0,0,1,0,0,0,0,1,4
393,51437,1,0,0,1,0,0,0,0,0,1,1
394,51618,0,2,0,0,2,0,0,0,0,2,1
395,51687,1,0,0,1,0,0,0,0,0,1,2
396,51997,1,0,0,0,0,0,-1,0,0,1,1
397,52034,1,0,0,0,0,0,-1,0,0,1,0
398,52043,1,0,0,2,0,0,1,0,0,1,0
399,52233,1,0,0,1,0,0,0,0,0,1,2
400,52335,1,1,0,1,1,0,0,0,0,2,1
401,52394,1,0,0,1,0,0,0,0,0,1,2
402,52451,1,1,0,1,1,0,0,0,0,2,1
403,52499,0,1,0,0,1,0,0,0,0,1,2
404,52677,1,0,0,0,0,0,-1,0,0,1,1
405,52697,0,0,0,0,1,0,0,1,0,0,0
406,52751,1,0,0,1,0,0,0,0,0,1,1
407,53024,1,0,0,1,1,0,0,1,0,1,1
408,53132,1,0,0,1,0,0,0,0,0,1,2
409,53179,0,3,0,0,3,0,0,0,0,3,1
410,53260,0,0,0,1,0,0,1,0,0,0,3
411,53621,0,0,0,1,0,0,1,0,0,0,1
412,53867,0,1,0,0,1,0,0,0,0,1,1
413,54090,1,0,0,1,0,0,0,0,0,1,1
414,54241,0,1,0,0,1,0,0,0,0,1,1
415,54253,3,0,0,3,0,0,0,0,0,3,1
416,54255,2,1,0,2,1,0,0,0,0,3,3
417,54275,0,3,0,0,3,0,0,0,0,3,3
418,54525,0,1,0,0,1,0,0,0,0,1,3
419,54622,0,2,0,0,2,0,0,0,0,2,1
420,54712,2,0,0,1,0,0,-1,0,0,2,2
421,54739,1,0,0,2,1,1,1,1,1,1,1
422,54824,0,0,0,1,0,0,1,0,0,0,4
423,54833,1,0,0,0,0,0,-1,0,0,1,1
424,55021,0,3,0,0,1,0,0,-2,0,3,0
425,55121,1,0,0,1,0,0,0,0,0,1,1
426,55176,1,0,0,1,0,0,0,0,0,1,1
427,55289,0,1,0,0,1,0,0,0,0,1,1
428,55298,5,0,0,0,0,0,-5,0,0,5,1
429,55421,0,1,0,0,0,0,0,-1,0,1,0
430,55458,1,0,0,0,0,0,-1,0,0,1,0
431,55469,1,4,0,1,4,0,0,0,0,5,0
432,55480,1,0,0,1,0,0,0,0,0,1,5
433,56050,1,1,0,1,1,0,0,0,0,2,1
434,56094,1,0,0,1,0,0,0,0,0,1,2
435,56104,1,0,0,1,0,0,0,0,0,1,1
436,56246,1,0,0,1,0,0,0,0,0,1,1
437,56284,1,0,0,1,0,0,0,0,0,1,1
438,56326,2,1,0,1,1,0,-1,0,0,3,1
439,56350,1,0,0,1,0,0,0,0,0,1,2
440,56356,0,0,0,1,0,0,1,0,0,0,1
441,56370,1,0,0,0,0,0,-1,0,0,1,1
442,56371,1,0,0,1,0,0,0,0,0,1,0
443,56471,1,0,0,0,0,0,-1,0,0,1,1
444,56512,1,0,0,1,0,0,0,0,0,1,0
445,56771,1,0,0,1,0,0,0,0,0,1,1
446,56793,0,1,0,0,1,0,0,0,0,1,1
447,56909,0,0,0,0,1,0,0,1,0,0,1
448,56920,0,0,0,0,1,0,0,1,0,0,1
449,56944,2,4,0,0,3,0,-2,-1,0,6,1
450,57013,0,0,0,1,0,0,1,0,0,0,3
